,user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,account subjectivity score,retweet subjectivity,retweet subjectivity score,tones,sadness_score,joy_score,fear_score,disgust_score,anger_score
0,JonGlasco,Pandemic Autonomous Vehicles,2020-07-23 14:43:08,Can autonomous vehicles be the heroes of the COVID-19 pandemic?,positive,0.4,,,,,1286310888513961985,subjective,0.7,,,joy,0.079216,0.151604,0.066504,0.034174,0.040655
1,FoodLogistics,Pandemic Autonomous Vehicles,2020-07-22 22:20:14,"With the onset of this #pandemic, #autonomous mobile #robots and autonomic guided vehicles are playing critical roles in many activities across industries around the world.",positive,0.3,,,,,1286063529754165248,subjective,0.6666666666666666,,,"sadness, joy",0.165888,0.149056,0.052969,0.006643,0.017533
2,gbackfried,Pandemic Autonomous Vehicles,2020-07-22 19:33:58,nan,,,"A driverless race at Indianapolis's storied speedway next year will provide a stress test for AI systems used in autonomous vehicles, participants and organizers say
https://t.co/8LpzZljDxv",positive,0.2,,1286021687218188290,,,objective,0.35,,0.0,0.0,0.0,0.0,0.0
3,WSJProAI,Pandemic Autonomous Vehicles,2020-07-22 19:20:00,"A driverless race at Indianapolis's storied speedway next year will provide a stress test for AI systems used in autonomous vehicles, participants and organizers say",positive,0.2,,,,,1286018173410533378,objective,0.35,,,"sadness, fear",0.103019,0.096808,0.106172,0.049895,0.023173
4,kismetbae,Pandemic Autonomous Vehicles,2020-07-21 16:25:00,nan,,,"1/ This is a very cool initiative to keep college students motivated during the pandemic.

College teams from around the world are preparing for an October 2021 autonomous racing competition with a $1.5 million prize at stake. 

https://t.co/ifPwqbOFMU",positive,0.4275,,1285611747198590979,,,very subjective,0.7725,,0.0,0.0,0.0,0.0,0.0
5,iot_automotive,Autonomous Vehicles,2020-07-23 18:31:57,nan,,,"DAILY DRIVE PODCAST: Local Motors' David Woessner discusses the company's deployment of its purpose-built autonomous electric shuttle, the hurdles of getting AVs on public roads and how it's using 3D printing to produce low-volume vehicles. #ANDailyDrive https://t.co/0rf3EdeoGh",positive,0.1,,1286368469315985409,,,very objective,0.19166666666666665,,0.0,0.0,0.0,0.0,0.0
6,EvanKirstel,Autonomous Vehicles,2020-07-23 18:31:03,nan,,,MIT task force predicts fully autonomous vehicles won’t arrive for ‘at least’ 10 years https://t.co/TsTrZePnvo,positive,0.05000000000000002,,1286368245289754631,,,subjective,0.55,,0.0,0.0,0.0,0.0,0.0
7,Automotive_News,Autonomous Vehicles,2020-07-23 18:30:35,"DAILY DRIVE PODCAST: Local Motors' David Woessner discusses the company's deployment of its purpose-built autonomous electric shuttle, the hurdles of getting AVs on public roads and how it's using 3D printing to produce low-volume vehicles. #ANDailyDrive",positive,0.1,,,,,1286368126557454336,very objective,0.19166666666666665,,,"sadness, joy, anger",0.119867,0.247031,0.091175,0.097966,0.165277
8,Andii_kuyik,Autonomous Vehicles,2020-07-23 18:29:41,The role of artificial intelligence in autonomous vehicles -,negative,-0.09999999999999998,,,,,1286367900840992769,very subjective,0.85,,,sadness,0.108894,0.051148,0.085473,0.048969,0.031656
9,fkiller,Autonomous Vehicles,2020-07-23 18:29:27,nan,,,MIT task force predicts fully autonomous vehicles won’t arrive for ‘at least’ 10 years https://t.co/ipj5iUo3Ge,positive,0.05000000000000002,,1286367838928855040,,,subjective,0.55,,0.0,0.0,0.0,0.0,0.0
10,MichaelAlanNob2,Autonomous Cars,2020-07-23 18:28:04,nan,,,"How An Autonomous Delorean Can Improve Driver Safety.

Full article: https://t.co/L4kKiLiNup

#tech #engineering #research #av #cars #code https://t.co/WGTLDxv6zM",positive,0.375,,1286367492886028288,,,subjective,0.625,,0.0,0.0,0.0,0.0,0.0
11,AaronDavid97,Autonomous Cars,2020-07-23 18:25:25,nan,,,"Meanwhile in San Jose, Kiwi is deploying a ""squad"" of delivery robots for local deliveries. Interestingly these robots are only ""semi-autonomous"" meaning they are actually just like remote control cars with people driving them... #robots https://t.co/pE7f5nc0VV",positive,0.08,,1286366825782095873,,,objective,0.36,,0.0,0.0,0.0,0.0,0.0
12,selfdriving360,Autonomous Cars,2020-07-23 18:25:00,"How safe are autonomous driving cars? DISCUSS DRIVERLESS CARS, ASK QUESTIONS, POST ANSWERS! #driverlesscars #autonomouscars #autonomousvehicles #selfdrivingcars #selfdriving #driverless",positive,0.5,,,,,1286366720236511232,subjective,0.6,,,"fear, anger",0.036554,0.078461,0.135816,0.076899,0.497741
13,m06CXmKmYnNyLiJ,Autonomous Cars,2020-07-23 18:18:38,"Good afternoon, Elon. I live in Ukraine and I have an idea how to make your electric cars independent of recharging and completely autonomous. If interested, contact me via Facebook.",positive,0.29727272727272724,,,,,1286365119753134082,objective,0.485,,,"sadness, joy",0.153783,0.653384,0.015745,0.054524,0.048664
14,Shadowz_Edge,Autonomous Cars,2020-07-23 18:17:31,What's your thoughts on the combination of Cars and Computers that we are seeing today to autopilot and soon to be fully autonomous driving?,positive,0.4,,,,,1286364838126424065,subjective,0.7,,,"sadness, joy, fear, anger",0.185947,0.157844,0.324956,0.041239,0.149199
15,Starktruthradio,Autonomous Robot,2020-07-23 18:29:13,nan,,,"Amazon's autonomous Scout robot is making deliveries in Atlanta, GA &amp; Franklin, TN. 

Human assistants accompany the bots during daylight hours Monday-Friday to meet increased customer demand during the pandemic. 

Helps to avoid human-to-human contact. 

via @TechCrunch https://t.co/prvyK3Ff1B",positive,0.2,,1286367781084991488,,,objective,0.4,,0.0,0.0,0.0,0.0,0.0
16,TNAdvEnergy,Autonomous Robot,2020-07-23 18:15:18,". unveiled its six-wheel, #electric delivery robot, Scout, in January 2019. Now, the company is now undergoing trials in Atlanta, Georgia and Franklin, Tennessee.",neutral,0.0,,,,,1286364278065377281,very objective,0.0,,,"sadness, joy, anger",0.15303,0.150194,0.046756,0.016898,0.104958
17,NatePaidFully,Autonomous Robot,2020-07-23 18:12:37,nan,,,"Amazon's autonomous Scout robot is making deliveries in Atlanta, GA &amp; Franklin, TN. 

Human assistants accompany the bots during daylight hours Monday-Friday to meet increased customer demand during the pandemic. 

Helps to avoid human-to-human contact. 

via @TechCrunch https://t.co/prvyK3Ff1B",positive,0.2,,1286363605357793286,,,objective,0.4,,0.0,0.0,0.0,0.0,0.0
18,BeautyZhuwao,Autonomous Robot,2020-07-23 18:09:09,nan,,,"Researchers at @UW have developed a tiny wireless camera, light enough to be carried by live beetles. @BBCNews reports: “The team claims it is the world's smallest terrestrial, power-autonomous robot with wireless vision"". https://t.co/zqDuQDlJWb",positive,0.10606060606060606,,1286362731378073600,,,objective,0.43333333333333335,,0.0,0.0,0.0,0.0,0.0
19,uviccoopcareer,Autonomous Robot,2020-07-23 18:03:15,Developing an autonomous navigation robot was the highlight of Kai Ren’s BEng. The winner of the Victoria Section Gold Medal in Electrical Engineering will be delving further into robotics during graduate studies #uvicgrad,positive,0.2,,,,,1286361248939024390,subjective,0.6,,,joy,0.084614,0.489929,0.086176,0.039482,0.087769
20,PleasantonNews,Testing Autonomous Vehicles,2020-07-23 14:03:33,Self-driving cars hit the Tri-Valley pavement. LAVTA kicks off non-passenger testing on shared autonomous vehicles (SAVs),positive,0.4,,,,,1286300923170623488,subjective,0.7,,,"sadness, fear, anger",0.22647,0.081521,0.252034,0.08505,0.114813
21,linuxdevices,Testing Autonomous Vehicles,2020-07-23 12:44:17,Mobileye will test autonomous vehicles in Munich: Intel subsidiary Mobileye test out self-driving cars in Munich after approval from TÜV Süd. Mobileye is one of the first companies not operating as an automotive OEM to receive approval for testing automa…,positive,0.325,,,,,1286280978982416384,subjective,0.5166666666666666,,,"sadness, joy, fear",0.10539,0.169008,0.117425,0.064275,0.090406
22,Barneylo,Testing Autonomous Vehicles,2020-07-23 12:26:00,nan,,,"Around the world, the testing, development and adoption of #autonomousvehicles are ramping up. Of the 25 countries profiled in the 2019 AVRI, 17 have increased their #AV readiness scores in 2020. Learn more: https://t.co/wDL4YmHaXM https://t.co/DNFC3ohlD0",positive,0.5,,1286276374039232513,,,objective,0.5,,0.0,0.0,0.0,0.0,0.0
23,ArtDalvik,Testing Autonomous Vehicles,2020-07-23 06:21:27,Fiat Chrysler Automobiles and Google affiliate Waymo said July 22 they are extending their partnership in the development and testing of autonomous vehicles for commercial delivery and for future FCA #suvs,positive,0.13333333333333333,,,,,1286184635253301249,objective,0.275,,,joy,0.077296,0.188918,0.049631,0.024455,0.036177
